Height (cm),Length (cm),Width (cm),Area (cm^2)
32.9,11.8,1.7,15.75
34.8,9.0,1.4,9.54
36.2,10.7,1.9,15.96
39.0,10.2,1.3,10.01
41.1,6.0,0.9,4.20
42.2,10.4,1.2,9.80
45.0,9.7,1.8,13.71
46.4,2.7,0.3,0.64
46.4,10.5,1.5,12.36
48.2,9.0,1.9,13.42
48.2,2.8,0.4,0.88
49.7,10.9,1.6,13.69
51.1,1.0,0.3,0.20
51.1,9.4,2.0,14.76
52.1,11.1,2.0,16.99
53.5,10.0,1.4,10.99
55.6,12.2,1.8,17.24
56.7,9.8,1.6,12.31
57.9,8.9,1.7,11.81
57.9,0.5,0.1,0.04
59.2,2.1,0.9,1.45
60.3,7.2,1.4,7.63
61.3,6.1,0.9,4.31
62.0,1.7,0.4,0.53
62.7,4.6,0.8,2.89
63.8,1.8,0.4,0.57
64.7,2.6,0.5,1.02
65.2,3.2,0.6,1.51
65.2,1.4,0.2,0.22
65.2,0.8,0.3,0.19
66.0,1.8,0.3,0.42
67.6,2.0,0.5,0.71
66.9,3.7,0.5,1.45
68.5,3.5,0.5,1.37
68.8,4.3,0.8,2.70
69.8,7.9,1.0,6.20
70.4,8.7,1.0,6.83
71.2,9.4,1.8,13.28
71.9,9.4,2.0,14.39
72.8,9.7,1.6,12.18
73.7,10.3,1.7,13.75
75.0,9.6,1.7,12.43
74.6,9.6,1.5,11.30
76.6,10.5,1.7,14.01
77.9,8.6,1.9,12.49
78.7,10.7,1.8,15.12
79.2,9.0,1.0,7.07
80.0,9.2,1.1,7.94
80.5,9.7,1.3,9.90
80.9,9.2,1.4,10.11
81.8,9.4,1.1,7.75
82.1,9.8,1.1,8.46
83.1,9.4,1.0,7.34
83.6,8.8,1.0,6.56
84.2,8.3,1.0,6.48
84.6,8.7,0.8,5.46
85.4,9.8,1.0,7.65
86.1,9.7,1.1,8.38
86.4,8.8,1.0,6.56
87.2,8.9,1.7,11.53
87.8,8.6,0.9,6.04
88.1,7.0,1.0,5.46
88.6,8.1,0.9,5.72
89.1,7.8,0.9,5.20
89.8,8.5,0.9,6.01
90.4,7.9,0.8,4.96
90.5,7.4,1.0,5.52
91.0,8.2,0.9,5.76
91.6,7.2,0.9,4.80
92.2,7.1,0.9,5.02
92.9,7.3,0.9,5.16
93.2,6.0,0.7,3.06
93.0,7.3,0.8,4.55
93.5,5.1,0.7,2.60
93.6,5.9,0.7,3.24
94.1,6.1,0.6,2.87
94.2,5.1,0.7,2.80
94.5,5.6,0.5,2.20
94.7,5.4,0.6,2.54
95.1,5.0,0.5,1.96
95.4,4.6,0.6,1.99
95.7,4.6,0.6,1.99
95.7,4.6,0.4,1.44
95.8,2.8,0.3,0.66
96.2,3.7,0.2,0.58
96.4,3.8,0.4,1.19
